1.0,Señorita,Shawn Mendes,canadian pop,117.0,55.0,76.0,-6.0,8.0,75.0,191.0,4.0,3.0,79.0
2.0,China,Anuel AA,reggaeton flow,105.0,81.0,79.0,-4.0,8.0,61.0,302.0,8.0,9.0,92.0
3.0,boyfriend (with Social House),Ariana Grande,dance pop,190.0,80.0,40.0,-4.0,16.0,70.0,186.0,12.0,46.0,85.0
4.0,Beautiful People (feat. Khalid),Ed Sheeran,pop,93.0,65.0,64.0,-8.0,8.0,55.0,198.0,12.0,19.0,86.0
5.0,Goodbyes (Feat. Young Thug),Post Malone,dfw rap,150.0,65.0,58.0,-4.0,11.0,18.0,175.0,45.0,7.0,94.0
6.0,I Don't Care (with Justin Bieber),Ed Sheeran,pop,102.0,68.0,80.0,-5.0,9.0,84.0,220.0,9.0,4.0,84.0
7.0,Ransom,Lil Tecca,trap music,180.0,64.0,75.0,-6.0,7.0,23.0,131.0,2.0,29.0,92.0
8.0,How Do You Sleep?,Sam Smith,pop,111.0,68.0,48.0,-5.0,8.0,35.0,202.0,15.0,9.0,90.0
9.0,Old Town Road - Remix,Lil Nas X,country rap,136.0,62.0,88.0,-6.0,11.0,64.0,157.0,5.0,10.0,87.0
10.0,bad guy,Billie Eilish,electropop,135.0,43.0,70.0,-11.0,10.0,56.0,194.0,33.0,38.0,95.0
11.0,Callaita,Bad Bunny,reggaeton,176.0,62.0,61.0,-5.0,24.0,24.0,251.0,60.0,31.0,93.0
12.0,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,dance pop,120.48,71.0,82.0,-4.0,15.0,38.0,185.0,28.0,7.0,86.0
13.0,Someone You Loved,Lewis Capaldi,pop,110.0,41.0,50.0,-6.0,11.0,45.0,182.0,75.0,3.0,88.0
14.0,Otro Trago - Remix,Sech,panamanian pop,176.0,79.0,73.0,-2.0,6.0,76.0,288.0,7.0,20.0,87.0
15.0,Money In The Grave (Drake ft. Rick Ross),Drake,canadian hip hop,101.0,50.0,83.0,-4.0,,10.0,205.0,10.0,5.0,92.0
16.0,No Guidance (feat. Drake),Chris Brown,dance pop,93.0,45.0,70.0,-7.0,16.0,14.0,261.0,12.0,15.0,82.0
17.0,LA CANCIÓN,J Balvin,latin,176.0,65.0,75.0,-6.0,11.0,43.0,243.0,15.0,32.0,90.0
18.0,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,dfw rap,90.0,48.0,76.0,-6.0,7.0,91.0,,56.0,5.0,91.0
19.0,Lalala,Y2K,canadian hip hop,130.0,39.0,84.0,-8.0,14.0,50.0,161.0,18.0,8.0,88.0
20.0,Truth Hurts,Lizzo,escape room,158.0,62.0,72.0,-3.0,12.0,41.0,173.0,11.0,,91.0
21.0,Piece Of Your Heart,MEDUZA,pop house,120.48,74.0,68.0,-7.0,7.0,63.0,153.0,4.0,3.0,91.0
22.0,Panini,Lil Nas X,country rap,154.0,59.0,70.0,-6.0,12.0,48.0,115.0,34.0,8.0,91.0
23.0,No Me Conoce - Remix,Jhay Cortez,reggaeton flow,92.0,79.0,81.0,-4.0,9.0,58.0,309.0,,7.0,83.0
24.0,Soltera - Remix,Lunay,latin,92.0,78.0,80.0,-4.0,44.0,80.0,266.0,36.0,4.0,91.0
25.0,bad guy (with Justin Bieber),Billie Eilish,electropop,135.0,45.0,67.0,-11.0,12.0,,195.0,25.0,30.0,89.0
26.0,If I Can't Have You,Shawn Mendes,canadian pop,124.0,82.0,69.0,-4.0,13.0,87.0,191.0,49.0,6.0,70.0
27.0,Dance Monkey,Tones and I,australian pop,98.0,59.0,82.0,-6.0,18.0,54.0,210.0,69.0,10.0,83.0
28.0,It's You,Ali Gatie,canadian hip hop,96.0,46.0,73.0,-7.0,19.0,40.0,213.0,37.0,3.0,89.0
29.0,Con Calma,Daddy Yankee,latin,94.0,86.0,74.0,-3.0,6.0,66.0,193.0,11.0,6.0,91.0
30.0,QUE PRETENDES,J Balvin,latin,93.0,79.0,64.0,-4.0,36.0,94.0,222.0,3.0,25.0,89.0
31.0,Takeaway,The Chainsmokers,edm,85.0,51.0,29.0,-8.0,10.0,36.0,210.0,12.0,4.0,84.0
32.0,7 rings,Ariana Grande,dance pop,140.0,32.0,78.0,-11.0,9.0,33.0,179.0,59.0,33.0,89.0
33.0,0.958333333333333,Maluma,reggaeton,96.0,71.0,78.0,-5.0,9.0,68.0,176.0,22.0,28.0,89.0
34.0,The London (feat. J. Cole & Travis Scott),Young Thug,atl hip hop,98.0,59.0,80.0,-7.0,13.0,18.0,200.0,2.0,15.0,89.0
